id_truss,id_fruit,value
6,1,29.4
6,8,19.7
6,16,15.2
7,1,32.2
7,8,31.6
7,17,25.9
8,1,32.3
8,12,25.8
8,24,20.6
9,1,29.5
9,7,27.3
9,14,20
10,1,27.3
10,9,19.8
10,18,13.3
11,1,23.8
11,6,18.2
11,13,14.8
12,1,16.8
12,5,13.2
12,8,7.2
